"cust","sampleid","date","cds","sales"
341,28,1997-01-02,2,26.14
341,28,1997-07-27,4,80.46
350,29,1997-01-02,1,46.37
353,30,1997-01-02,2,28.76
353,30,1997-02-12,2,40.47
367,31,1997-01-02,1,44.77
388,32,1997-01-02,1,10.77
408,33,1997-01-02,1,25.99
425,34,1997-01-02,1,14.99
429,35,1997-01-02,1,11.77
429,35,1997-07-11,2,31.14
429,35,1998-06-14,1,59.49
440,36,1997-01-02,1,14.96
473,37,1997-01-02,3,34.97
489,38,1997-01-02,3,47
489,38,1997-01-17,1,13.97
502,39,1997-01-02,1,15.36
502,39,1997-10-09,1,16.99
516,40,1997-01-02,1,14.99
487,41,1997-01-03,1,11.77
530,42,1997-01-03,1,11.97
542,43,1997-01-03,4,45.67
558,44,1997-01-03,4,49.67
562,45,1997-01-03,1,8.97
562,45,1997-06-23,1,14.96
564,46,1997-01-03,3,40.7
564,46,1997-01-14,1,14.96
564,46,1997-01-21,2,43.13
564,46,1997-01-27,1,14.96
564,46,1997-02-04,2,39.33
564,46,1997-04-11,2,29.92
564,46,1997-06-27,2,37.93
564,46,1997-07-10,2,26.73
564,46,1997-07-14,2,29.58
564,46,1997-07-29,1,14.96
564,46,1997-07-31,1,21.97
564,46,1997-08-28,2,29.73
564,46,1997-08-28,2,27.74
564,46,1997-09-01,2,23.54
564,46,1997-10-13,2,32.48
564,46,1997-10-28,2,24.48
564,46,1997-12-14,3,35.97
564,46,1998-01-10,2,26.48
564,46,1998-02-13,2,28.98
564,46,1998-03-01,2,30.98
564,46,1998-03-05,2,32.47
564,46,1998-03-25,2,25.98
564,46,1998-04-15,1,11.88
564,46,1998-05-31,1,12.99
581,47,1997-01-03,1,14.37
612,48,1997-01-03,1,12.49
621,49,1997-01-03,1,17.9
621,49,1997-01-14,1,14.37
636,50,1997-01-03,3,27.92
656,51,1997-01-03,3,55.1
656,51,1998-04-11,6,93.81
656,51,1998-04-11,2,20.98
675,52,1997-01-03,1,24.99
687,53,1997-01-03,1,12.97
687,53,1998-04-10,2,34.41
736,54,1997-01-03,2,28.74
755,55,1997-01-03,1,52.99
756,56,1997-01-03,1,14.37
756,56,1997-07-06,1,13.97
756,56,1997-08-23,4,42.08
760,57,1997-01-03,1,11.77
760,57,1997-02-02,1,15.36
760,57,1998-04-20,2,26.3
18,58,1997-01-04,1,14.96
645,59,1997-01-04,3,44.71
645,59,1997-09-30,1,6.49
645,59,1997-11-24,1,12.99
645,59,1998-03-19,1,36.99
703,60,1997-01-04,8,121.34
773,61,1997-01-04,4,56.27
773,61,1997-01-20,4,62.9
773,61,1997-01-20,1,15.36
773,61,1997-02-24,3,63.95
773,61,1997-02-24,1,24.99
773,61,1997-03-03,1,15.36
773,61,1997-07-29,1,31.03
773,61,1997-12-17,2,29.48
773,61,1997-12-18,1,28.49
773,61,1997-12-22,3,66.97
775,62,1997-01-04,10,186.67
789,63,1997-01-04,2,27.34
789,63,1997-04-27,3,43.13
789,63,1998-03-30,2,28.97
795,64,1997-01-04,1,13.97
816,65,1997-01-04,3,35.31
834,66,1997-01-04,2,21.98
836,67,1997-01-04,4,59.08
836,67,1997-01-26,10,144.08
836,67,1997-06-01,8,122.88
836,67,1997-11-12,8,140.42
857,68,1997-01-04,2,24.94
875,69,1997-01-04,1,16.99
881,70,1997-01-04,2,36.94
881,70,1997-01-11,1,11.77
881,70,1997-06-02,5,71.02
881,70,1997-07-28,3,45.09
881,70,1998-04-18,7,106.03
899,71,1997-01-04,2,145.47
913,72,1997-01-04,1,12.77
918,73,1997-01-04,4,51.87
918,73,1997-02-14,5,69.23
918,73,1997-12-07,1,15.49
936,74,1997-01-04,1,14.99
947,75,1997-01-04,6,53.46
947,75,1997-02-09,2,20.77
958,76,1997-01-04,8,117.1
974,77,1997-01-04,1,18.36
989,78,1997-01-05,1,14.96
1012,79,1997-01-05,1,13.97
1012,79,1997-03-07,1,13.77
1012,79,1997-03-22,1,14.37
1012,79,1997-05-03,3,32.51
1014,80,1997-01-05,5,96.36
1034,81,1997-01-05,2,33.96
1035,82,1997-01-05,5,66.84
1035,82,1997-02-26,3,42.09
1050,83,1997-01-05,2,21.76
1062,84,1997-01-05,1,14.96
1080,85,1997-01-05,1,14.99
1099,86,1997-01-05,1,14.96
1099,86,1997-02-03,2,24.74
1099,86,1997-02-05,1,8
1099,86,1997-02-25,1,13.97
1099,86,1997-02-27,1,27.77
1099,86,1997-03-18,3,45.28
1099,86,1997-06-24,4,58.68
1099,86,1997-07-09,1,14.96
1099,86,1997-12-30,1,17.49
1099,86,1998-02-27,1,18.49
1099,86,1998-03-23,1,10.49
1099,86,1998-06-17,3,46.47
1101,87,1997-01-05,1,0
1108,88,1997-01-05,1,16.3
1108,88,1997-01-05,1,13.99
1108,88,1997-02-14,2,14.96
1108,88,1997-03-05,2,11.58
1108,88,1997-03-26,1,6.79
1108,88,1997-04-13,1,6.79
1108,88,1997-07-24,1,12.25
1108,88,1997-08-04,2,20.74
1108,88,1997-08-24,1,11.77
1108,88,1997-08-24,1,12.25
1108,88,1997-09-03,1,14.96
1108,88,1997-09-09,1,12.99
1108,88,1997-09-10,1,11.49
1108,88,1997-10-07,1,5.49
1108,88,1997-11-18,1,4.49
1108,88,1997-11-18,1,5.49
1108,88,1998-03-01,1,5.49
1108,88,1998-03-06,1,2.99
1131,89,1997-01-05,5,71.63
1150,90,1997-01-05,1,37.97
1158,91,1997-01-05,6,79.94
1158,91,1997-08-26,1,14.99
1167,92,1997-01-05,4,47.28
1167,92,1997-01-11,4,60.84
1167,92,1997-01-14,2,19.94
1167,92,1997-01-22,2,24.74
1167,92,1997-02-10,2,23.54
1167,92,1997-05-18,6,99.19
1167,92,1997-09-24,3,76.97
1167,92,1998-04-18,5,62.79
1174,93,1997-01-05,1,34.9
1188,94,1997-01-05,3,43.09
1209,95,1997-01-05,3,31.51
1223,96,1997-01-05,3,56.51
1240,97,1997-01-05,2,36.36
1241,98,1997-01-05,1,11.77
1241,98,1997-06-22,2,25.74
1241,98,1997-08-16,3,41.1
1241,98,1997-12-21,1,14.99
1241,98,1998-01-28,3,38.97
1251,99,1997-01-05,1,6.79
1251,99,1997-01-15,1,4.79
1251,99,1997-08-24,2,24.5
1251,99,1997-09-11,4,35.96
1251,99,1997-09-25,2,17.48
1251,99,1998-01-17,3,32.47
1251,99,1998-03-26,3,58.97
1251,99,1998-05-05,3,21.09
1252,100,1997-01-05,1,16.99
1252,100,1997-06-21,2,26.22
441,101,1997-01-06,5,62.45
441,101,1997-02-13,1,12.49
441,101,1997-05-05,1,6.79
441,101,1997-05-26,1,6.79
441,101,1997-08-13,3,37.31
441,101,1997-09-16,2,23.98
441,101,1997-11-17,2,15.48
441,101,1997-11-20,1,14.49
441,101,1997-12-10,1,14.99
441,101,1998-06-03,2,24.48
1115,102,1997-01-06,1,19.99
1265,103,1997-01-06,4,34.74
1280,104,1997-01-06,1,22.7
1283,105,1997-01-06,6,79.21
1283,105,1997-06-24,7,92.8
1291,106,1997-01-06,3,52.3
1291,106,1997-02-18,3,52.3
1302,107,1997-01-06,6,125.82
1317,108,1997-01-06,2,32.98
1322,109,1997-01-06,2,27.13
1322,109,1997-01-08,3,39.09
1333,110,1997-01-06,3,42.49
1333,110,1997-11-08,2,29.48
1343,111,1997-01-06,1,9.97
1343,111,1997-01-08,1,12.97
1343,111,1998-06-04,1,12.58
1350,112,1997-01-06,7,156
1365,113,1997-01-06,1,11.77
1377,114,1997-01-06,1,14.37
1377,114,1997-06-24,1,24.99
1380,115,1997-01-06,2,29.33
1393,116,1997-01-06,1,8.77
1393,116,1997-02-12,3,28.31
1393,116,1998-01-02,4,58.46
1393,116,1998-05-26,3,14.47
1395,117,1997-01-06,1,8.77
1420,118,1997-01-06,1,11.77
1433,119,1997-01-06,1,9.98
1446,120,1997-01-06,1,19.77
1480,121,1997-01-06,1,15.96
1480,121,1997-01-27,1,13.77
1483,122,1997-01-06,11,163.52
1504,123,1997-01-06,1,24.99
1518,124,1997-01-06,1,14.96
1528,125,1997-01-06,1,10.99
1528,125,1997-02-25,3,36.71
1528,125,1998-02-13,1,7.49
719,126,1997-01-07,2,34.98
1463,127,1997-01-07,3,28.37
1540,128,1997-01-07,1,10.77
1544,129,1997-01-07,1,6.79
1544,129,1997-01-09,2,9.58
1544,129,1997-01-24,2,19.16
1544,129,1997-02-13,1,13.97
1544,129,1997-03-01,1,11.77
1560,130,1997-01-07,1,12.77
1560,130,1997-03-15,1,14.37
1560,130,1997-06-19,2,28.74
1560,130,1997-07-08,1,14.96
1561,131,1997-01-07,4,49.87
1561,131,1997-11-10,6,66.94
1568,132,1997-01-07,1,27.99
1568,132,1997-06-24,4,71.66
1583,133,1997-01-07,1,13.7
1583,133,1997-04-09,1,11.77
1583,133,1997-07-25,1,15.96
1583,133,1998-01-21,1,9.49
1583,133,1998-03-05,1,11.49
1583,133,1998-03-25,1,12.99
1583,133,1998-06-03,1,12.58
1583,133,1998-06-09,1,9.99
1585,134,1997-01-07,1,8.77
1585,134,1998-05-25,1,15.99
1596,135,1997-01-07,2,35.36
1596,135,1997-06-20,2,19.54
1596,135,1997-12-08,4,44.96
1596,135,1998-02-11,3,32.74
1605,136,1997-01-07,2,44.98
1605,136,1997-02-05,2,19.96
1605,136,1997-02-28,1,26.99
1618,137,1997-01-07,1,12.97
1623,138,1997-01-07,1,14.99
1623,138,1997-02-23,2,29.98
1623,138,1997-05-05,5,73.62
1623,138,1997-11-27,8,106.42
1623,138,1998-03-19,3,30.4
1623,138,1998-03-21,1,9.49
1623,138,1998-05-05,7,97.95
1627,139,1997-01-07,1,11.77
1627,139,1997-01-22,2,29.33
1631,140,1997-01-07,1,11.77
1631,140,1997-04-27,2,23.54
1640,141,1997-01-07,7,79.99
1647,142,1997-01-07,2,59.98
1647,142,1997-01-08,2,27.14
1647,142,1997-01-09,4,51.66
1647,142,1997-02-06,1,12.97
1647,142,1997-02-07,2,26.14
1647,142,1997-02-24,3,59.97
1647,142,1998-01-08,1,13.99
1647,142,1998-02-04,2,22.98
1655,143,1997-01-07,2,26.73
1655,143,1997-01-24,1,14.96
1655,143,1997-07-26,1,15.36
1661,144,1997-01-07,1,174.99
1661,144,1997-01-21,2,45.35
1661,144,1997-02-21,1,17.9
1661,144,1997-02-28,1,15.7
1661,144,1997-05-13,2,26.73
1661,144,1997-07-29,1,31.03
1661,144,1997-08-14,1,17.95
1661,144,1997-09-03,1,5.78
1661,144,1997-10-20,1,29.99
1661,144,1997-10-21,1,11.49
1661,144,1997-11-12,1,25.49
1661,144,1998-02-12,1,14.49
1661,144,1998-06-09,1,29.99
1663,145,1997-01-07,1,14.96
1663,145,1997-01-22,1,14.96
1663,145,1997-09-14,1,22.99
1664,146,1997-01-07,5,70.42
1668,147,1997-01-07,1,13.97
1668,147,1997-02-07,1,14.39
1668,147,1997-05-15,2,41.95
1668,147,1997-07-05,2,43.57
1668,147,1997-07-31,1,9.77
1668,147,1997-07-31,1,9.77
1668,147,1997-12-11,1,14.99
1669,148,1997-01-07,1,9.98
1669,148,1997-01-17,3,44.32
1669,148,1997-01-27,1,39.47
1669,148,1997-03-05,2,73.98
1669,148,1997-03-19,1,7.98
1669,148,1997-03-24,1,12.77
1669,148,1997-04-10,1,29.95
1669,148,1997-08-05,3,30.54
1669,148,1997-08-19,1,12.25
1669,148,1997-08-19,1,17.7
1669,148,1997-08-25,3,17.37
1669,148,1997-08-26,2,26.73
1669,148,1997-09-11,1,12.99
1669,148,1997-09-17,8,43.92
1669,148,1997-09-29,1,11.49
1669,148,1997-10-06,2,24.48
1669,148,1997-10-28,1,20.99
1669,148,1997-12-09,2,27.98
1669,148,1998-03-10,1,11.19
1669,148,1998-03-10,2,25.98
1669,148,1998-03-13,2,33.98
1686,149,1997-01-07,1,13.97
1686,149,1997-12-09,2,25.98
1686,149,1998-01-30,2,28.48
1686,149,1998-02-20,3,35.47
1686,149,1998-04-19,1,21.22
1686,149,1998-04-19,1,12.99
1686,149,1998-04-28,1,15.99
1696,150,1997-01-07,4,46.48
1696,150,1997-01-22,3,35.31
1696,150,1997-02-03,2,26.14
1696,150,1997-07-31,2,28.93
1696,150,1997-08-26,2,23.74
1696,150,1997-11-14,2,22.48
1696,150,1997-11-24,1,12.99
1705,151,1997-01-07,1,11.77
1705,151,1997-02-23,4,59.84
1705,151,1997-07-14,1,14.79
1705,151,1997-09-08,1,10.77
1705,151,1997-09-11,1,14.37
1712,152,1997-01-07,1,30.97
1733,153,1997-01-07,1,11.77
1739,154,1997-01-07,1,15.36
1739,154,1997-01-27,1,16.7
1753,155,1997-01-07,1,0
1758,156,1997-01-07,1,11.77
1758,156,1997-02-21,2,34.32
1760,157,1997-01-07,1,11.99
1760,157,1997-01-10,1,9.97
1760,157,1997-01-14,1,13.97
1760,157,1997-01-19,3,46.08
1760,157,1997-01-22,1,5.99
1760,157,1997-01-29,2,27.94
1760,157,1997-02-03,2,23.98
1760,157,1997-02-15,4,55.47
1760,157,1997-03-14,1,14.99
1760,157,1997-03-20,1,14.96
1760,157,1997-04-02,1,14.96
1760,157,1997-04-04,5,72.44
1760,157,1997-04-08,2,27.94
1760,157,1997-04-18,1,14.96
1760,157,1997-04-18,1,11.97
1760,157,1997-04-20,1,14.96
1760,157,1997-05-04,1,12.77
1760,157,1997-05-08,1,14.96
1760,157,1997-05-15,1,12.77
1760,157,1997-06-02,3,41.69
1760,157,1997-06-27,2,29.92
1760,157,1997-07-06,1,15.36
1760,157,1997-07-22,1,15.96
1760,157,1997-07-31,1,14.96
1760,157,1997-08-03,1,14.96
1760,157,1997-08-20,2,29.92
1760,157,1997-09-06,1,15.36
1760,157,1997-09-11,3,39.97
1760,157,1997-09-16,2,25.98
1760,157,1997-09-27,4,57.96
1760,157,1997-09-28,4,48.46
1760,157,1997-10-07,1,12.49
1760,157,1997-10-25,2,25.98
1760,157,1997-10-25,1,13.99
1760,157,1997-11-02,1,12.99
1760,157,1997-11-23,1,13.99
1760,157,1997-11-25,2,29.98
1760,157,1997-11-25,1,7.49
1760,157,1997-12-17,1,12.99
1760,157,1997-12-18,2,25.98
1760,157,1997-12-24,1,12.99
1760,157,1998-01-02,1,12.99
1760,157,1998-01-27,1,14.99
1760,157,1998-03-10,2,42.98
1760,157,1998-04-12,1,11.88
1760,157,1998-05-17,3,60.45
1760,157,1998-06-11,4,37.96
1783,158,1997-01-08,1,14.37
1792,159,1997-01-08,2,30.36
1792,159,1997-01-09,4,59.06
1792,159,1997-01-28,3,50.97
1792,159,1997-06-30,2,29.73
1809,160,1997-01-08,2,31.54
1825,161,1997-01-08,4,63.93
1825,161,1998-06-09,1,14.49
1828,162,1997-01-08,2,26.14
1828,162,1997-01-22,3,46.28
1839,163,1997-01-08,1,73.3
1845,164,1997-01-08,1,17.7
1845,164,1997-01-25,10,139.7
1845,164,1997-03-25,6,78.22
1845,164,1997-04-14,4,52.68
1845,164,1997-06-24,3,40.7
1845,164,1997-07-14,5,69.63
1845,164,1997-07-15,2,26.74
1845,164,1997-07-22,4,57.45
1845,164,1997-08-25,6,72.82
1845,164,1997-09-04,4,49.48
1845,164,1997-09-24,3,36.97
1845,164,1997-10-22,5,72.95
1845,164,1998-01-06,2,24.48
1845,164,1998-01-07,4,107.96
1845,164,1998-02-05,2,29.06
1845,164,1998-03-24,1,8.49
1845,164,1998-04-06,2,26.48
1858,165,1997-01-08,2,24.98
1858,165,1997-01-08,2,28.74
1877,166,1997-01-08,3,49.08
1877,166,1998-01-29,4,51.96
1890,167,1997-01-08,1,12.49
1890,167,1997-02-05,4,49.96
1890,167,1997-03-10,2,13.58
1890,167,1997-03-15,1,12.79
1890,167,1997-04-16,2,24.98
1890,167,1997-05-14,7,100.93
1890,167,1997-05-15,3,32.3
1890,167,1997-05-16,2,11.58
1890,167,1997-05-19,2,20.76
1890,167,1997-05-20,3,28.81
1890,167,1997-06-06,1,5.78
1890,167,1997-06-24,1,12.25
1890,167,1997-07-23,1,4.99
1890,167,1997-07-24,1,12.25
1890,167,1997-10-14,4,49.96
1890,167,1997-10-20,1,11.49
1890,167,1997-10-24,2,24.98
1890,167,1997-11-07,4,35.96
1890,167,1997-11-18,1,12.49
1890,167,1997-11-20,3,47.97
1890,167,1997-12-01,2,16.98
1890,167,1998-01-02,2,53.48
1890,167,1998-01-06,4,63.96
1890,167,1998-01-11,5,105.95
1890,167,1998-01-27,5,66.95
1890,167,1998-02-09,2,24.98
1890,167,1998-02-18,1,11.02
1890,167,1998-03-20,1,5.99
1890,167,1998-03-28,3,40.97
1890,167,1998-05-13,3,41.97
1894,168,1997-01-08,1,14.37
1908,169,1997-01-08,2,25.77
1919,170,1997-01-08,1,18.99
1919,170,1997-09-27,1,14.49
1919,170,1997-11-29,1,13.99
1919,170,1998-04-11,1,14.49
1928,171,1997-01-08,1,64.99
1944,172,1997-01-08,1,51.37
1956,173,1997-01-08,8,93.57
1971,174,1997-01-08,1,18.36
1985,175,1997-01-08,1,6.79
1402,176,1997-01-09,10,166.3
1763,177,1997-01-09,1,12.49
1893,178,1997-01-09,5,63.29
1893,178,1997-01-17,6,70.62
1893,178,1997-03-28,2,38.93
1893,178,1997-05-19,3,41.31
1893,178,1997-06-29,1,11.77
1893,178,1997-08-10,1,17.7
1893,178,1997-08-27,2,30.72
1893,178,1997-11-12,3,45.47
1893,178,1997-11-27,2,25.98
1893,178,1998-01-13,2,25.98
1893,178,1998-01-16,2,25.98
1893,178,1998-02-21,2,23.98
1893,178,1998-02-28,2,25.98
1893,178,1998-03-13,2,25.98
1893,178,1998-05-07,1,15.49
1991,179,1997-01-09,4,47.08
1991,179,1997-02-03,3,29.97
1991,179,1997-02-09,4,68.45
1991,179,1997-03-02,2,55.96
1991,179,1997-03-24,5,62.93
1991,179,1997-04-16,3,40.7
1991,179,1997-06-21,3,47.28
1991,179,1997-07-13,2,31.76
1991,179,1997-09-19,4,56.96
1991,179,1997-11-23,1,9.99
1991,179,1997-11-23,2,98.98
1991,179,1997-11-30,1,39.49
1991,179,1997-12-27,3,38.97
1991,179,1998-01-19,5,70.47
1991,179,1998-02-22,4,56.05
1991,179,1998-04-07,3,43.36
1991,179,1998-04-08,1,21.99
2005,180,1997-01-09,1,17.96
2030,181,1997-01-09,1,15.76
2049,182,1997-01-09,1,12.97
2053,183,1997-01-09,1,15.36
2053,183,1997-02-13,1,15.76
2053,183,1997-11-14,2,20.98
2053,183,1998-04-21,2,16.98
2053,183,1998-05-08,1,14.99
2071,184,1997-01-09,1,8.77
2072,185,1997-01-09,3,27.55
2072,185,1997-01-11,2,27.94
2072,185,1997-01-18,2,29.78
2072,185,1997-02-23,1,14.96
2072,185,1997-09-19,3,62.97
2072,185,1997-11-05,2,10.98
2072,185,1998-06-12,1,20.99
2087,186,1997-01-09,1,14.96
2099,187,1997-01-09,1,13.97
2099,187,1997-02-07,1,13.77
2099,187,1997-03-05,1,9.97
2099,187,1998-02-20,1,12.49
2102,188,1997-01-09,1,3.99
2102,188,1997-03-20,2,23.76
2102,188,1997-04-01,3,44.69
2102,188,1997-06-06,3,45.51
2102,188,1997-12-23,3,41.47
2104,189,1997-01-09,4,51.86
2104,189,1997-02-05,1,11.77
2104,189,1997-02-17,2,29.13
2104,189,1997-02-20,3,44.49
2109,190,1997-01-09,1,28.99
2127,191,1997-01-09,2,27.94
2142,192,1997-01-09,2,30.54
2161,193,1997-01-09,3,52.63
2180,194,1997-01-09,1,16.99
2194,195,1997-01-09,1,14.3
2194,195,1997-02-10,1,22.97
2194,195,1997-05-09,2,16.56
2194,195,1997-05-27,2,48.94
2194,195,1997-06-11,1,39.51
2194,195,1997-06-16,1,10.77
2194,195,1997-07-17,1,33.86
2199,196,1997-01-09,3,36.75
2202,197,1997-01-09,2,29.36
2202,197,1997-01-20,2,27.13
2217,198,1997-01-09,3,46.68
2217,198,1997-11-02,1,29.49
2235,199,1997-01-09,1,27.77
780,200,1997-01-10,3,47.73
780,200,1997-02-01,1,23.99
780,200,1997-04-20,3,58.97
780,200,1998-01-10,1,11.49
2254,201,1997-01-10,2,21.54
2272,202,1997-01-10,1,12.49
2272,202,1997-02-04,2,25.26
2272,202,1997-02-28,1,12.49
2289,203,1997-01-10,1,16.7
2289,203,1997-07-01,1,15.96
2289,203,1997-08-15,1,27.77
2294,204,1997-01-10,2,28.35
2319,205,1997-01-10,1,10.77
2331,206,1997-01-10,4,56.87
2331,206,1997-05-16,1,14.96
2336,207,1997-01-10,1,12.99
2361,208,1997-01-10,4,82.96
2361,208,1997-01-12,2,34.27
2363,209,1997-01-10,1,14.37
2379,210,1997-01-10,3,59.97
2389,211,1997-01-10,3,35.31
2389,211,1997-02-11,3,61.11
2389,211,1997-02-23,5,141.6
2389,211,1997-03-14,3,37.51
2389,211,1997-03-22,6,80.21
2389,211,1997-04-11,5,68.05
2389,211,1997-05-02,5,62.25
2389,211,1997-05-15,4,51.94
2389,211,1997-11-13,5,92.95
2389,211,1997-11-25,2,24.48
2389,211,1997-12-03,1,21.49
2389,211,1997-12-30,2,30.98
2389,211,1998-03-23,2,41.48
2389,211,1998-06-27,3,61.47
2398,212,1997-01-10,1,31.98
2419,213,1997-01-10,1,13.97
2419,213,1998-06-14,6,81.44
2442,214,1997-01-10,1,14.96
2445,215,1997-01-10,1,19.99
2445,215,1997-07-27,1,14.96
2445,215,1997-08-01,1,13.97
2445,215,1997-12-08,2,24.48
2455,216,1997-01-10,1,14.96
2455,216,1998-03-28,2,24.98
2457,217,1997-01-10,1,13.97
2457,217,1997-01-28,2,25.74
2457,217,1997-02-26,3,37.9
2457,217,1997-06-14,3,44.29
2457,217,1997-06-29,3,41.1
2457,217,1998-04-18,2,25.98
208,218,1997-01-11,5,63.25
208,218,1998-02-21,5,70.38
2181,219,1997-01-11,3,41.75
2181,219,1997-04-25,1,14.99
2471,220,1997-01-11,1,21.99
2471,220,1997-07-22,2,21.74
2478,221,1997-01-11,1,21.77
2492,222,1997-01-11,1,11.77
2508,223,1997-01-11,5,69.29
2521,224,1997-01-11,1,11.77
2537,225,1997-01-11,2,24.54
2541,226,1997-01-11,1,11.77
2541,226,1997-02-08,1,15.7
2541,226,1997-04-01,1,24.99
2556,227,1997-01-11,1,0
2563,228,1997-01-11,1,22.97
2563,228,1997-01-25,1,13.97
2568,229,1997-01-11,2,22.74
2568,229,1997-01-24,1,9.77
2578,230,1997-01-11,1,12.49
2578,230,1997-08-27,5,50.52
2578,230,1997-08-30,1,6.78
2578,230,1998-05-28,1,23.99
2591,231,1997-01-11,4,58.28
2591,231,1997-11-19,1,22.49
2591,231,1998-05-12,5,72.04
2597,232,1997-01-11,1,17.36
2597,232,1997-06-01,2,29.73
2597,232,1997-06-18,2,26.14
2597,232,1997-09-24,1,10.99
2597,232,1997-11-20,1,76.99
2597,232,1998-05-16,2,18.64
2597,232,1998-05-31,2,26.57
2597,232,1998-06-22,3,38.47
2610,233,1997-01-11,2,29.92
2625,234,1997-01-11,3,35.31
2645,235,1997-01-11,1,11.77
2665,236,1997-01-11,1,5.78
2681,237,1997-01-11,1,15.96
2697,238,1997-01-11,1,16.7
2709,239,1997-01-11,1,14.37
2725,240,1997-01-11,5,58.85
2745,241,1997-01-11,1,22.7
2745,241,1997-10-07,1,11.99
2745,241,1997-10-16,1,14.49
2745,241,1997-11-20,1,19.99
2745,241,1997-12-05,1,21.49
2745,241,1998-02-11,2,24.98
2753,242,1997-01-11,1,14.37
2753,242,1997-03-01,1,14.96
2753,242,1997-03-13,1,13.97
2753,242,1997-07-11,3,37.51
2753,242,1997-08-19,2,29.92
2753,242,1998-03-21,1,27.99
2509,243,1997-01-12,7,94.4
2509,243,1997-03-11,4,55.28
2509,243,1998-02-10,7,95.43
2509,243,1998-03-07,12,187.68
2509,243,1998-03-10,2,27.98
2509,243,1998-03-22,4,50.35
2761,244,1997-01-12,1,15.96
2761,244,1997-01-20,3,45.88
2761,244,1997-01-20,6,192.9
2761,244,1997-02-03,7,164.93
2761,244,1997-02-09,4,142.96
2761,244,1997-02-14,6,308.22
2761,244,1997-02-17,8,119.43
2765,245,1997-01-12,1,10.77
2786,246,1997-01-12,5,78.2
2790,247,1997-01-12,2,29.58
2790,247,1997-02-08,3,40.9
2790,247,1997-06-29,2,31.32
2803,248,1997-01-12,1,19.99
2813,249,1997-01-12,2,26.73
2813,249,1997-01-25,2,30.32
2820,250,1997-01-12,2,31.78
2820,250,1997-05-19,2,27.73
2820,250,1997-06-04,2,26.14
2820,250,1997-10-08,2,27.98
2821,251,1997-01-12,1,14.96
2845,252,1997-01-12,2,27.13
2855,253,1997-01-12,1,13.97
2855,253,1997-08-24,1,16.36
2855,253,1998-04-06,1,12.99
2863,254,1997-01-12,1,4.99
