"","cust","x","t.x","litt","sales","sales.x","first","T.cal","T.star","x.star","sales.star","first.sales","xstar.m1","xstar.m2"
"116",1295,0,0,0,90.56,0,1997-02-10,33.1428571428571,39,0,0,0.09056,0.095,0.145
"117",1302,0,0,0,125.82,0,1997-01-06,38.1428571428571,39,0,0,0.12582,0.145,0.13
"118",1317,0,0,0,32.98,0,1997-01-06,38.1428571428571,39,0,0,0.03298,0.12,0.2
"119",1322,1,0.285714285714286,-1.25276296849537,66.22,39.09,1997-01-06,38.1428571428571,39,0,0,0.02713,0.115,0.145
"120",1333,0,0,0,42.49,0,1997-01-06,38.1428571428571,39,1,29.48,0.04249,0.11,0.175
"121",1343,1,0.285714285714286,-1.25276296849537,22.94,12.97,1997-01-06,38.1428571428571,39,1,12.58,0.00997,0.065,0.09
"122",1350,0,0,0,156,0,1997-01-06,38.1428571428571,39,0,0,0.156,0.09,0.105
"123",1365,0,0,0,11.77,0,1997-01-06,38.1428571428571,39,0,0,0.01177,0.115,0.18
"124",1377,1,24.1428571428571,3.18398856586776,39.36,24.99,1997-01-06,38.1428571428571,39,0,0,0.01437,0.81,0.86
"125",1380,0,0,0,29.33,0,1997-01-06,38.1428571428571,39,0,0,0.02933,0.18,0.145
"126",1393,1,5.28571428571429,1.66500776358891,37.08,28.31,1997-01-06,38.1428571428571,39,2,72.93,0.00877,0.21,0.245
"127",1395,0,0,0,8.77,0,1997-01-06,38.1428571428571,39,0,0,0.00877,0.165,0.155
"128",1402,0,0,0,166.3,0,1997-01-09,37.7142857142857,39,0,0,0.1663,0.12,0.2
"129",1417,1,15.2857142857143,2.72691868540659,111.72,76.41,1997-01-14,37,39,1,359.72,0.03531,0.58,0.73
"130",1420,0,0,0,11.77,0,1997-01-06,38.1428571428571,39,0,0,0.01177,0.09,0.095
"131",1425,0,0,0,17.3,0,1997-02-18,32,39,0,0,0.0173,0.135,0.19
"132",1433,0,0,0,9.98,0,1997-01-06,38.1428571428571,39,0,0,0.00998,0.16,0.175
"133",1446,0,0,0,19.77,0,1997-01-06,38.1428571428571,39,0,0,0.01977,0.175,0.14
"134",1463,0,0,0,28.37,0,1997-01-07,38,39,0,0,0.02837,0.19,0.11
"135",1480,1,3,1.09861228866811,29.73,13.77,1997-01-06,38.1428571428571,39,0,0,0.01596,0.17,0.225
"136",1483,0,0,0,163.52,0,1997-01-06,38.1428571428571,39,0,0,0.16352,0.11,0.095
"137",1499,1,10.2857142857143,2.33075596996074,175.38,163.61,1997-01-26,35.2857142857143,39,0,0,0.01177,0.6,0.38
"138",1504,0,0,0,24.99,0,1997-01-06,38.1428571428571,39,0,0,0.02499,0.135,0.11
"139",1518,0,0,0,14.96,0,1997-01-06,38.1428571428571,39,0,0,0.01496,0.135,0.235
"140",1528,1,7.14285714285714,1.96611285637283,47.7,36.71,1997-01-06,38.1428571428571,39,1,7.49,0.01099,0.265,0.29
"141",1540,0,0,0,10.77,0,1997-01-07,38,39,0,0,0.01077,0.155,0.225
"142",1544,4,7.57142857142857,1.38587778123467,61.27,54.48,1997-01-07,38,39,0,0,0.00679,0.135,0.14
"143",1560,3,26,5.8757493428593,70.84,58.07,1997-01-07,38,39,0,0,0.01277,1.565,1.765
"144",1561,0,0,0,49.87,0,1997-01-07,38,39,1,66.94,0.04987,0.205,0.13
"145",1568,1,24,3.17805383034795,99.65,71.66,1997-01-07,38,39,0,0,0.02799,0.765,0.845
"146",1583,2,28.4285714285714,5.30279711340032,41.43,27.73,1997-01-07,38,39,5,56.54,0.0137,1.27,1.275
"147",1585,0,0,0,8.77,0,1997-01-07,38,39,1,15.99,0.00877,0.105,0.13
"148",1596,1,23.4285714285714,3.15395627876888,54.9,19.54,1997-01-07,38,39,2,77.7,0.03536,0.685,0.675
"149",1605,2,7.42857142857143,2.610969747805,91.93,46.95,1997-01-07,38,39,0,0,0.04498,0.29,0.33
"150",1618,0,0,0,12.97,0,1997-01-07,38,39,0,0,0.01297,0.11,0.16
"151",1623,2,16.8571428571429,4.22100718064075,118.59,103.6,1997-01-07,38,39,4,244.26,0.01499,0.87,0.825
"152",1627,1,2.14285714285714,0.762140052046897,41.1,29.33,1997-01-07,38,39,0,0,0.01177,0.15,0.245
"153",1631,1,15.7142857142857,2.7545702167371,35.31,23.54,1997-01-07,38,39,0,0,0.01177,0.61,0.705
"154",1640,0,0,0,79.99,0,1997-01-07,38,39,0,0,0.07999,0.135,0.125
"155",1647,5,6.85714285714286,-3.56413289104514,237.86,177.88,1997-01-07,38,39,2,36.97,0.05998,0.065,0.05
"156",1655,2,28.5714285714286,4.15087919878701,57.05,30.32,1997-01-07,38,39,0,0,0.02673,1.305,1.3
"157",1661,7,34.1428571428571,8.81377515062015,335.43,160.44,1997-01-07,38,39,5,111.45,0.17499,4.47,4.955
"158",1663,2,35.7142857142857,4.27581541713574,52.91,37.95,1997-01-07,38,39,0,0,0.01496,1.32,1.515
"159",1664,0,0,0,70.42,0,1997-01-07,38,39,0,0,0.07042,0.105,0.095
"160",1668,4,29.2857142857143,7.41497975751308,133.42,119.45,1997-01-07,38,39,1,14.99,0.01397,2.24,1.985
"161",1669,13,37.8571428571429,6.24321032191574,391.44,381.46,1997-01-07,38,39,5,144.6,0.00998,8.92,8.49
"162",1686,0,0,0,13.97,0,1997-01-07,38,39,5,140.13,0.01397,0.155,0.14
"163",1696,4,33,5.84919634298252,160.6,114.12,1997-01-07,38,39,2,35.47,0.04648,2.16,2.51
"164",1705,4,35.2857142857143,6.13923087527024,111.54,99.77,1997-01-07,38,39,0,0,0.01177,2.305,2.82
"165",1712,0,0,0,30.97,0,1997-01-07,38,39,0,0,0.03097,0.19,0.195
"166",1727,0,0,0,35.31,0,1997-01-19,36.2857142857143,39,0,0,0.03531,0.12,0.13
"167",1733,0,0,0,11.77,0,1997-01-07,38,39,0,0,0.01177,0.115,0.195
"168",1739,1,2.85714285714286,1.04982212449868,32.06,16.7,1997-01-07,38,39,0,0,0.01536,0.145,0.22
"169",1750,1,15.2857142857143,2.72691868540659,121.56,100.59,1997-01-18,36.4285714285714,39,0,0,0.02097,0.71,0.64
"170",1753,0,0,0,0,0,1997-01-07,38,39,0,0,0,0.11,0.23
"171",1758,1,6.42857142857143,1.86075234071501,46.09,34.32,1997-01-07,38,39,0,0,0.01177,0.26,0.3
"172",1760,29,37.7142857142857,-0.84110587859453,773.57,761.58,1997-01-07,38,39,14,350.12,0.01199,22.86,21.545
"173",1763,0,0,0,12.49,0,1997-01-09,37.7142857142857,39,0,0,0.01249,0.11,0.23
"174",1783,0,0,0,14.37,0,1997-01-08,37.8571428571429,39,0,0,0.01437,0.125,0.145
"175",1792,3,24.7142857142857,2.13714645339294,170.12,139.76,1997-01-08,37.8571428571429,39,0,0,0.03036,1.515,1.455
"176",1809,0,0,0,31.54,0,1997-01-08,37.8571428571429,39,0,0,0.03154,0.125,0.19
"177",1825,0,0,0,63.93,0,1997-01-08,37.8571428571429,39,1,14.49,0.06393,0.165,0.175
"178",1828,1,2,0.693147180559945,72.42,46.28,1997-01-08,37.8571428571429,39,0,0,0.02614,0.22,0.24
"179",1839,0,0,0,73.3,0,1997-01-08,37.8571428571429,39,0,0,0.0733,0.14,0.175
"180",1845,10,37,8.47638176177761,642.09,624.39,1997-01-08,37.8571428571429,39,6,269.42,0.0177,6.865,6.855
"181",1858,0,0,0,53.72,0,1997-01-08,37.8571428571429,39,0,0,0.02498,0.13,0.13
"182",1877,0,0,0,49.08,0,1997-01-08,37.8571428571429,39,1,51.96,0.04908,0.275,0.165
"183",1890,13,28.1428571428571,0.128751679938598,343.45,330.96,1997-01-08,37.8571428571429,39,16,615.1,0.01249,3.705,4.815
"184",1893,6,32.8571428571429,8.88817463702263,274.34,211.05,1997-01-09,37.7142857142857,39,8,214.84,0.06329,3.985,3.735
"185",1894,0,0,0,14.37,0,1997-01-08,37.8571428571429,39,0,0,0.01437,0.17,0.115
"186",1908,0,0,0,25.77,0,1997-01-08,37.8571428571429,39,0,0,0.02577,0.16,0.095
"187",1919,1,37.4285714285714,3.62243435470578,33.48,14.49,1997-01-08,37.8571428571429,39,2,28.48,0.01899,0.955,0.865
"188",1928,0,0,0,64.99,0,1997-01-08,37.8571428571429,39,0,0,0.06499,0.165,0.285
"189",1944,0,0,0,51.37,0,1997-01-08,37.8571428571429,39,0,0,0.05137,0.12,0.15
"190",1956,0,0,0,93.57,0,1997-01-08,37.8571428571429,39,0,0,0.09357,0.15,0.165
"191",1971,0,0,0,18.36,0,1997-01-08,37.8571428571429,39,0,0,0.01836,0.16,0.175
"192",1985,0,0,0,6.79,0,1997-01-08,37.8571428571429,39,0,0,0.00679,0.08,0.13
"193",1991,8,36.1428571428571,10.2146181092255,441.09,394.01,1997-01-09,37.7142857142857,39,7,379.3,0.04708,5.67,5.375
"194",2005,0,0,0,17.96,0,1997-01-09,37.7142857142857,39,0,0,0.01796,0.185,0.09
"195",2030,0,0,0,15.76,0,1997-01-09,37.7142857142857,39,0,0,0.01576,0.19,0.185
"196",2046,2,10.1428571428571,3.24545813914976,62.04,44.16,1997-01-18,36.4285714285714,39,1,27.98,0.01788,0.56,0.65
"197",2049,0,0,0,12.97,0,1997-01-09,37.7142857142857,39,0,0,0.01297,0.135,0.145
"198",2053,1,5,1.6094379124341,31.12,15.76,1997-01-09,37.7142857142857,39,3,52.95,0.01536,0.305,0.36
"199",2071,0,0,0,8.77,0,1997-01-09,37.7142857142857,39,0,0,0.00877,0.1,0.155
"200",2072,4,36.1428571428571,3.77647375155143,163.2,135.65,1997-01-09,37.7142857142857,39,2,31.97,0.02755,2.655,2.945
"201",2087,0,0,0,14.96,0,1997-01-09,37.7142857142857,39,0,0,0.01496,0.145,0.17
"202",2092,1,1.14285714285714,0.133531392624523,66.22,12.97,1997-01-14,37,39,3,130.31,0.05325,0.08,0.225
"203",2099,2,7.85714285714286,2.73357206989733,37.71,23.74,1997-01-09,37.7142857142857,39,1,12.49,0.01397,0.34,0.485
"204",2102,3,21.1428571428571,5.08532618669784,117.95,113.96,1997-01-09,37.7142857142857,39,1,41.47,0.00399,1.645,1.26
"205",2104,3,6,1.0416253572945,137.25,85.39,1997-01-09,37.7142857142857,39,0,0,0.05186,0.195,0.18
"206",2109,0,0,0,28.99,0,1997-01-09,37.7142857142857,39,0,0,0.02899,0.135,0.14
"207",2127,0,0,0,27.94,0,1997-01-09,37.7142857142857,39,0,0,0.02794,0.135,0.175
"208",2142,0,0,0,30.54,0,1997-01-09,37.7142857142857,39,0,0,0.03054,0.21,0.15
"209",2161,0,0,0,52.63,0,1997-01-09,37.7142857142857,39,0,0,0.05263,0.12,0.26
"210",2180,0,0,0,16.99,0,1997-01-09,37.7142857142857,39,0,0,0.01699,0.115,0.14
"211",2181,1,14.8571428571429,2.69848075008606,56.74,14.99,1997-01-11,37.4285714285714,39,0,0,0.04175,0.525,0.65
"212",2194,6,27,6.90945889886368,186.91,172.61,1997-01-09,37.7142857142857,39,0,0,0.0143,2.89,2.75
"213",2198,0,0,0,13.77,0,1997-02-05,33.8571428571429,39,0,0,0.01377,0.18,0.145
"214",2199,0,0,0,36.75,0,1997-01-09,37.7142857142857,39,0,0,0.03675,0.12,0.155
"215",2202,1,1.57142857142857,0.451985123743057,56.49,27.13,1997-01-09,37.7142857142857,39,0,0,0.02936,0.2,0.095
"216",2213,1,16.5714285714286,2.80768004205105,55.09,26.75,1997-02-04,34,39,0,0,0.02834,0.69,0.63
"217",2217,0,0,0,46.68,0,1997-01-09,37.7142857142857,39,1,29.49,0.04668,0.14,0.15
"218",2224,1,2,0.693147180559945,179.55,79.72,1997-01-13,37.1428571428571,39,0,0,0.09983,0.175,0.12
"219",2235,0,0,0,27.77,0,1997-01-09,37.7142857142857,39,0,0,0.02777,0.125,0.145
"220",2254,0,0,0,21.54,0,1997-01-10,37.5714285714286,39,0,0,0.02154,0.16,0.105
"221",2272,2,7,2.50510935710552,50.24,37.75,1997-01-10,37.5714285714286,39,0,0,0.01249,0.455,0.285
"222",2274,0,0,0,43.53,0,1997-01-13,37.1428571428571,39,0,0,0.04353,0.1,0.085
"223",2289,2,31,5.06233666847315,60.43,43.73,1997-01-10,37.5714285714286,39,0,0,0.0167,1.39,1.275
"224",2294,0,0,0,28.35,0,1997-01-10,37.5714285714286,39,0,0,0.02835,0.085,0.16
"225",2319,0,0,0,10.77,0,1997-01-10,37.5714285714286,39,0,0,0.01077,0.155,0.135
"226",2331,1,18,2.89037175789616,71.83,14.96,1997-01-10,37.5714285714286,39,0,0,0.05687,0.63,0.715
"227",2336,0,0,0,12.99,0,1997-01-10,37.5714285714286,39,0,0,0.01299,0.145,0.135
"228",2337,0,0,0,9.98,0,1997-01-27,35.1428571428571,39,0,0,0.00998,0.115,0.21
"229",2361,1,0.285714285714286,-1.25276296849537,117.23,34.27,1997-01-10,37.5714285714286,39,0,0,0.08296,0.17,0.105
"230",2363,0,0,0,14.37,0,1997-01-10,37.5714285714286,39,0,0,0.01437,0.14,0.21
"231",2379,0,0,0,59.97,0,1997-01-10,37.5714285714286,39,0,0,0.05997,0.105,0.1
"232",2389,7,17.8571428571429,5.95835609878576,537.98,502.67,1997-01-10,37.5714285714286,39,6,272.85,0.03531,0.655,1.175
"233",2390,1,3.85714285714286,1.34992671694902,68.81,41.82,1997-01-13,37.1428571428571,39,1,12.49,0.02699,0.23,0.295
"234",2398,0,0,0,31.98,0,1997-01-10,37.5714285714286,39,0,0,0.03198,0.16,0.145
"235",2419,0,0,0,13.97,0,1997-01-10,37.5714285714286,39,1,81.44,0.01397,0.09,0.11
"236",2427,4,21.7142857142857,6.20777095073405,121.13,109.36,1997-03-01,30.4285714285714,39,1,80.94,0.01177,2.44,2.54
"237",2442,0,0,0,14.96,0,1997-01-10,37.5714285714286,39,0,0,0.01496,0.12,0.195
"238",2445,2,29,3.00588464501801,48.92,28.93,1997-01-10,37.5714285714286,39,1,24.48,0.01999,1.465,1.175
"239",2455,0,0,0,14.96,0,1997-01-10,37.5714285714286,39,1,24.98,0.01496,0.15,0.2
"240",2457,4,24.2857142857143,5.86420841988781,163,149.03,1997-01-10,37.5714285714286,39,1,25.98,0.01397,2.005,2.255
"241",2471,1,27.4285714285714,3.31158522297247,43.73,21.74,1997-01-11,37.4285714285714,39,0,0,0.02199,0.945,0.915
"242",2478,0,0,0,21.77,0,1997-01-11,37.4285714285714,39,0,0,0.02177,0.105,0.09
"243",2492,0,0,0,11.77,0,1997-01-11,37.4285714285714,39,0,0,0.01177,0.23,0.265
"244",2508,0,0,0,69.29,0,1997-01-11,37.4285714285714,39,0,0,0.06929,0.19,0.185
